Candidate_ID,Name,Age,Gender,City,Degree,Experience_Years,Skills,Projects_Count,Certifications,Resume_Summary,Target_Designation
C05465,Candidate_5465,24,Male,Mumbai,B.Tech,11,"SQL, Pandas, Python, Git, MLflow, CV, PyTorch, Docker, NLP, Scikit-learn, TensorFlow, NumPy",7,TensorFlow,ML Engineer with 11 years of experience.,ML Engineer
C10022,Candidate_10022,32,Male,Kochi,M.Tech,7,"Canva, Meta Ads, Analytics, Keyword Research, SEO, Copywriting, Social Media, WordPress",9,Azure AZ-900,Digital Marketing with 7 years of experience.,Digital Marketing
C04427,Candidate_4427,29,Female,Bengaluru,M.Tech,0,"Docker, Linux, Terraform, Python, Azure, Jenkins, Kubernetes, CI/CD, GCP, Networking",1,Azure AZ-900,Cloud Engineer with 0 years of experience.,Cloud Engineer
C09744,Candidate_9744,40,Female,Bengaluru,B.Sc,3,"SEM, SEO, WordPress, Google Ads, Social Media, Canva, Keyword Research, Analytics",2,Meta,Digital Marketing with 3 years of experience.,Digital Marketing
C01711,Candidate_1711,37,Male,Delhi,M.Tech,4,"Docker, MySQL, Django, JWT, Linux, Git, REST, PostgreSQL, FastAPI",7,Azure AZ-900,Backend Developer with 4 years of experience.,Backend Developer
C08543,Candidate_8543,36,Female,Chennai,M.Tech,6,"Color Theory, Prototyping, UX, UI, Adobe XD, Wireframing, After Effects, Canva, Figma, Typography, Illustrator",1,Meta,Designer with 6 years of experience.,Designer
C04990,Candidate_4990,33,Female,Bengaluru,B.Tech,8,"Jenkins, GCP, Docker, Kubernetes, AWS, Linux, CI/CD, Azure, Python, Terraform, Scikit-learn",3,TensorFlow,Cloud Engineer with 8 years of experience.,Cloud Engineer
C00877,Candidate_877,26,Male,Delhi,BCA,5,"Next.js, JavaScript, Redux, TypeScript, Tailwind, CSS, Git, React, Vite, Bootstrap",3,Power BI,Front End Developer with 5 years of experience.,Front End Developer
C06458,Candidate_6458,33,Female,Mumbai,B.Tech,5,"CV, Pandas, SQL, PyTorch, Python, TensorFlow, Docker, Scikit-learn, NLP",3,Oracle Java,ML Engineer with 5 years of experience.,ML Engineer
C06568,Candidate_6568,39,Female,Mumbai,BCA,7,"Employee Relations, Onboarding, Communication, ATS, Recruitment, Leadership, Payroll, Compliance, Email Marketing, Copywriting",1,Power BI,HR Manager with 7 years of experience.,HR Manager
